"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.5","1011.6","1011.9","2006-07-01 00:01","1008.7","2006-07-01 14:13","29.9","33.5","2006-07-01 13:57","26.8","2006-07-01 04:28","24.2","72","56","2006-07-01 07:53","1.4","320","4.8","130","2006-07-01 14:05","0.0","0.0","0.0","...","0.0","...","12.3","91.3","27.71","21.9","5.4","11","2006-07-01 12:00","1.9"
"02","1009.3","1010.4","1010.9","2006-07-02 00:02","1008.0","2006-07-02 16:58","30.1","33.8","2006-07-02 11:30","26.9","2006-07-02 05:20","24.6","73","61","2006-07-02 08:09","1.5","180","6.3","200","2006-07-02 14:32","0.0","0.0","0.0","...","0.0","...","12.2","90.6","28.86","21.6","7.3","11","2006-07-02 13:00","1.9"
"03","1008.2","1009.3","1009.8","2006-07-03 00:01","1006.8","2006-07-03 16:09","30.4","34.2","2006-07-03 13:54","27.1","2006-07-03 04:09","25.1","74","64","2006-07-03 07:16","2.1","190","7.3","190","2006-07-03 09:52","0.0","0.0","0.0","...","0.0","...","11.4","84.7","28.23","21.6","6.9","11","2006-07-03 13:00","2.1"
"04","1005.5","1006.6","1007.6","2006-07-04 00:01","1003.8","2006-07-04 15:41","30.6","34.3","2006-07-04 14:05","27.2","2006-07-04 04:54","24.9","72","56","2006-07-04 13:31","1.8","60","8.2","70","2006-07-04 14:38","0.0","0.0","0.0","...","0.0","...","12.1","90.0","28.09","18.8","5.8","10","2006-07-04 13:00","2.8"
"05","1004.2","1005.3","1005.8","2006-07-05 07:29","1002.1","2006-07-05 16:11","30.6","34.2","2006-07-05 14:32","27.5","2006-07-05 04:54","24.9","72","62","2006-07-05 12:21","1.2","320","4.6","150","2006-07-05 12:51","0.0","0.0","0.0","...","0.0","...","11.0","81.8","27.51","20.6","6.6","10","2006-07-05 13:00","3.0"
"06","1002.1","1003.2","1003.9","2006-07-06 00:08","1000.4","2006-07-06 16:36","30.6","34.0","2006-07-06 12:56","27.6","2006-07-06 04:10","25.4","74","63","2006-07-06 09:09","1.8","310","6.7","30","2006-07-06 16:09","0.0","0.0","0.0","...","0.0","...","12.2","90.8","27.91","20.0","6.4","11","2006-07-06 12:00","2.0"
"07","1000.9","1002.0","1002.6","2006-07-07 00:01","999.4","2006-07-07 14:54","30.4","33.5","2006-07-07 11:17","27.9","2006-07-07 05:03","24.8","72","63","2006-07-07 14:39","1.5","110","6.3","110","2006-07-07 14:10","0.0","0.0","0.0","...","0.0","...","10.0","74.5","24.15","19.1","7.1","11","2006-07-07 13:00","4.4"
"08","997.9","999.0","1001.3","2006-07-08 00:01","993.9","2006-07-08 16:42","30.2","34.0","2006-07-08 09:32","27.3","2006-07-08 05:22","23.8","69","50","2006-07-08 09:27","1.5","310","6.8","60","2006-07-08 18:28","0.0","0.0","0.0","...","0.0","...","7.6","56.6","20.88","20.0","-2.3","10","2006-07-08 12:00","6.0"
"09","998.6","999.7","1002.1","2006-07-09 23:42","996.2","2006-07-09 01:31","28.8","31.0","2006-07-09 11:56","27.4","2006-07-09 14:14","24.6","78","69","2006-07-09 11:02","1.0","320","7.1","270","2006-07-09 12:44","5.2","3.6","1.0","2006-07-09 12:57","3.5","2006-07-09 12:53","0.1","0.7","7.23","16.4","-0.8","3","2006-07-09 12:00","9.5"
