氣溫,露點溫度,相對溼度,降水量
27.6,22.2,73,5.0
28.6,22.1,68,7.6
29.2,22.0,65,7.7
28.6,22.9,72,6.6
25.4,21.5,79,2.1
27.7,22.0,72,1.4
24.6,21.0,81,2.2
24.5,20.8,81,1.2
26.2,23.8,87,2.0
27.9,24.7,83,1.5
28.4,25.1,83,6.5
28.2,24.3,80,6.7
28.8,23.9,75,5.7
28.6,23.6,75,1.4
27.0,24.0,84,4.4
25.2,23.8,92,0.9
24.8,23.9,95,1.6
27.2,24.0,83,4.1
27.6,23.5,79,4.6
28.1,23.8,78,5.6
28.5,23.4,74,6.3
28.3,23.4,75,6.5
28.5,23.3,74,5.8
29.0,24.0,75,6.8
29.2,24.1,74,5.8
29.3,23.4,71,7.1
29.0,24.1,75,4.4
29.1,24.4,76,4.4
29.3,23.9,74,5.6
29.1,23.6,74,3.8
28.0,23.6,77,4.8
29.8,23.2,68,6.0
29.4,22.2,65,6.5
29.9,21.7,62,-5.4
28.5,23.4,75,-4.9
27.3,24.6,85,-2.8
28.1,24.0,79,-5.5
28.7,24.9,80,4.9
28.9,24.2,76,5.2
29.1,23.4,72,4.9
29.4,23.8,72,5.8
28.2,23.6,77,-3.9
29.4,23.2,70,5.8
28.9,23.2,72,5.4
29.0,23.4,72,5.8
29.1,24.5,77,4.1
28.8,23.8,74,5.9
28.7,23.4,74,4.6
29.1,23.7,73,5.3
29.1,24.2,75,4.2
30.1,24.1,71,-4.9
29.1,25.0,79,5.3
29.5,24.3,74,5.8
28.0,24.1,80,-2.1
27.8,24.4,82,-2.4
26.8,23.9,85,-2.6
28.6,24.7,80,-3.5
29.3,24.2,75,5.3
29.7,23.8,71,4.8
28.5,23.5,75,-1.7
29.1,23.4,72,-1.6
28.4,23.7,76,3.8
30.0,24.4,72,5.6
30.5,23.5,66,6.7
30.2,22.6,64,3.7
30.7,25.3,73,3.5
30.8,25.3,73,-4.5
29.5,24.8,76,-1.8
28.1,24.1,80,-6.0
25.7,24.1,91,-1.5
27.3,24.8,87,-2.1
29.5,25.4,79,-5.8
28.3,25.2,84,-3.1
28.1,24.7,82,-6.6
29.1,23.9,74,5.1
29.5,23.6,71,6.6
29.5,24.1,73,7.8
29.6,23.5,70,-6.4
27.7,23.6,79,-3.5
28.3,23.2,74,4.5
28.8,23.9,75,5.7
28.7,23.2,73,4.0
28.8,22.5,69,5.4
29.1,22.9,69,5.0
29.3,23.0,69,3.7
29.4,22.9,68,8.5
29.3,23.5,71,3.2
29.7,23.0,68,7.0
29.6,23.0,68,6.8
28.7,22.9,71,-2.1
28.8,22.8,70,5.1
28.4,23.3,74,-3.7
28.5,22.2,69,-4.1
29.3,24.2,74,5.8
29.6,24.6,75,5.0
29.4,23.9,73,5.4
29.3,23.6,72,-4.6
29.7,24.7,75,5.3
30.0,24.8,74,5.9
29.8,24.3,73,5.6
29.9,24.0,71,-5.3
29.8,24.8,75,-5.7
29.7,24.2,73,6.3
30.0,24.1,71,7.3
30.4,24.9,73,5.8
30.2,25.7,77,6.8
30.2,25.9,78,6.3
30.4,25.5,76,6.1
30.4,25.2,74,5.6
30.0,24.3,72,6.7
30.2,24.3,72,7.7
30.6,24.2,69,-5.7
29.8,24.1,72,4.2
31.0,24.7,70,4.5
29.2,24.4,76,-4.2
26.8,25.4,92,-6.2
29.3,25.7,82,7.6
29.9,24.9,75,6.9
29.9,24.5,73,6.7
29.9,24.8,75,5.7
30.1,25.4,76,7.5
30.3,25.0,74,4.9
30.0,25.3,76,7.6
30.0,24.4,72,5.8
24.9,23.8,94,-1.7
25.9,25.0,95,-1.5
26.1,24.4,91,-0.4
24.6,23.0,91,-1.3
26.4,23.8,86,-1.7
28.6,24.3,78,6.3
28.9,24.0,76,6.8
28.6,23.7,75,4.1
28.9,25.0,80,5.0
29.2,24.7,77,5.4
28.8,24.3,77,6.4
29.1,24.0,74,7.1
29.4,23.7,72,5.9
28.9,23.6,74,-5.3
27.9,24.0,80,-6.8
27.0,23.1,80,-2.9
27.8,23.1,76,-6.1
25.3,23.3,89,-0.8
28.0,23.5,77,-5.9
28.5,24.4,79,4.1
28.9,24.1,75,6.7
28.9,23.5,73,5.5
28.5,23.3,74,6.3
28.1,22.5,72,6.4
28.7,22.5,69,-5.3
26.9,23.4,81,-1.9
25.2,23.5,90,-1.6
27.7,23.9,80,-1.1
28.3,24.2,79,3.8
28.2,23.2,75,5.0
28.4,23.6,76,6.6
28.9,23.3,72,5.8
29.2,24.5,76,-5.7
29.4,24.7,76,6.0
29.3,23.7,72,6.8
29.4,23.2,70,5.0
29.2,23.3,71,4.5
29.4,24.1,73,-2.9
29.7,24.3,73,6.2
29.6,23.6,70,5.1
29.5,24.0,72,5.9
29.8,24.3,72,5.0
29.9,24.9,75,5.6
29.8,24.7,74,4.8
29.7,23.7,70,5.8
30.1,23.6,68,5.2
30.1,23.0,66,7.2
28.0,21.8,70,-1.2
29.4,22.4,68,-0.2
25.6,23.4,88,X
24.2,22.4,90,-1.8
25.9,22.1,80,-2.2
27.7,22.6,74,4.2
28.6,23.1,72,4.5
28.8,22.7,70,4.7
28.0,21.4,68,4.9
28.1,21.5,68,5.4
28.7,22.2,68,5.2
28.5,22.6,71,-2.0
28.6,24.2,78,-1.9
29.4,24.3,74,5.5
29.7,24.2,73,4.1
29.9,24.2,72,5.4
30.1,24.6,73,7.3
30.4,25.1,74,6.9
30.6,24.9,72,5.8
30.6,24.9,72,6.6
30.6,25.4,74,6.4
30.4,24.8,72,7.1
30.2,23.8,69,-2.3
28.8,24.6,78,-0.8
30.6,24.7,72,6.7
30.3,25.3,75,6.3
31.0,23.7,65,-5.8
29.5,24.9,77,-1.5
27.3,24.4,84,/
27.2,25.0,87,/
27.7,24.9,85,-4.7
28.1,24.6,82,-3.3
28.7,24.0,76,5.1
28.9,24.0,75,6.2
29.0,23.8,74,7.8
29.5,23.6,71,5.6
30.0,24.9,75,-4.4
30.2,25.3,76,-7.8
29.8,24.1,72,-4.1
27.4,25.3,89,/
24.9,24.2,96,/
25.3,23.8,92,-2.1
28.1,23.8,78,-2.8
29.0,24.0,75,-5.9
27.9,23.1,75,-1.3
29.0,23.8,74,6.1
29.2,23.7,73,6.4
29.6,24.1,72,4.8
29.8,24.6,74,7.6
30.5,24.5,71,6.3
30.1,24.6,72,8.1
29.9,24.7,74,6.3
29.8,24.6,74,5.6
30.1,24.9,74,7.3
30.2,25.1,75,-5.5
30.6,25.5,74,6.8
31.0,26.0,75,6.3
30.5,24.0,69,7.5
31.0,24.8,70,6.1
31.8,24.0,64,5.4
31.4,25.3,70,8.3
31.0,25.1,72,7.3
31.1,25.2,71,7.1
30.8,24.9,71,6.6
31.1,24.9,70,6.5
31.3,25.0,69,6.9
31.0,23.4,64,6.9
30.8,24.7,70,5.4
30.5,24.4,70,8.4
30.6,24.5,70,7.2
30.5,23.4,66,7.1
30.6,24.3,69,5.9
30.8,24.4,69,8.0
30.8,24.6,70,7.3
28.9,23.8,74,-4.9
29.6,23.6,70,5.8
29.7,23.9,71,6.1
29.0,24.9,79,5.4
29.4,25.5,80,5.2
29.4,25.0,77,5.6
29.5,24.6,75,6.4
29.4,24.4,75,-5.9
28.4,24.8,81,-4.3
28.6,23.8,75,3.3
27.2,23.8,82,-2.2
26.8,23.6,83,-1.8
27.6,23.3,78,-4.4
28.1,23.1,75,-3.5
28.8,23.8,75,6.5
29.2,24.3,75,6.0
29.4,23.9,73,5.7
29.4,23.7,72,5.9
29.4,24.1,73,4.8
28.3,23.9,77,-1.3
27.1,23.7,82,/
28.9,24.5,77,7.9
29.1,24.1,75,5.6
29.4,25.5,80,6.2
29.5,25.4,79,5.1
29.5,24.9,76,4.6
29.5,25.1,77,6.1
29.6,25.3,78,5.4
30.5,24.6,71,6.0
29.7,23.5,71,-1.4
27.5,24.4,84,/
26.2,24.8,92,-1.1
26.8,24.9,89,-2.7
28.4,24.9,82,-4.8
29.4,24.2,74,6.0
29.3,24.6,76,5.9
28.2,23.6,76,-2.8
28.2,24.1,79,4.7
28.2,24.0,78,-5.6
28.1,23.3,75,5.1
28.7,23.8,75,6.3
29.4,23.9,73,5.5
29.7,23.8,71,-6.7
28.6,25.0,81,-3.6
